Šifra;Naziv županije;Naziv JLS-a;2012.;2013.;2014.;2015.;2016.;2017.;2018.;;
2925;Koprivni?ko-križeva?ka;NOVIGRAD PODRAVSKI;.;z;z;.;.;.;z;;
5614;Koprivni?ko-križeva?ka;NOVO VIRJE;.;.;.;.;.;.;z;;
2933;Sisa?ko-moslava?ka;NOVSKA;z;z;z;z;z;z;12;;
2941;Vukovarsko-srijemska;NUŠTAR;.;z;.;.;.;.;z;;
2968;Zadarska;OBROVAC;z;z;27;20;15;13;19;;
2976;Karlova?ka;OGULIN;16;14;12;11;16;23;26;;
5886;Splitsko-dalmatinska;OKRUG;57;54;46;51;38;63;88;;
2992;Brodsko-posavska;OKU?ANI;z;z;.;z;z;.;z;;
3000;Splitsko-dalmatinska;OMIŠ;56;31;31;32;37;31;49;;
3018;Primorsko-goranska;OMIŠALJ;36;50;55;55;57;52;59;;
3026;Primorsko-goranska;OPATIJA;89;102;132;144;117;109;125;;
3034;Brodsko-posavska;OPRISAVCI;.;.;.;.;.;.;.;;
3042;Istarska;OPRTALJ - PORTOLE;.;.;.;.;.;.;.;;
3069;Dubrova?ko-neretvanska;OPUZEN;z;z;z;z;z;.;z;;
3077;Viroviti?ko-podravska;ORAHOVICA;z;z;z;z;10;z;z;;
3085;Dubrova?ko-neretvanska;OREBI?;z;z;z;z;10;15;z;;
6050;Me?imurska;OREHOVICA;.;.;.;.;z;.;.;;
3093;Brodsko-posavska;ORIOVAC;z;.;z;.;z;z;z;;
5428;Zagreba?ka;ORLE;.;.;.;.;.;.;.;;
3115;Krapinsko-zagorska;OROSLAVJE;20;12;z;z;z;19;24;;
3123;Osje?ko-baranjska;OSIJEK;755;655;648;1019;1510;813;949;;
3131;Li?ko-senjska;OTO?AC;10;z;z;z;11;z;11;;
3140;Splitsko-dalmatinska;OTOK;.;.;.;.;.;.;.;;
5355;Vukovarsko-srijemska;OTOK;.;.;z;.;z;.;.;;
3158;Karlova?ka;OZALJ;z;z;z;z;z;.;z;;
3166;Zadarska;PAG;40;43;67;56;78;54;47;;
3174;Zadarska;PAKOŠTANE;29;24;32;21;27;28;23;;
3182;Požeško-slavonska;PAKRAC;13;10;11;11;z;z;16;;
3204;Zadarska;PAŠMAN;20;33;30;24;33;23;44;;
3212;Istarska;PAZIN;20;11;10;26;11;35;22;;
3239;Li?ko-senjska;PERUŠI?;z;z;.;z;.;.;z;;
3247;Koprivni?ko-križeva?ka;PETERANEC;.;.;.;.;.;.;z;;
3255;Osje?ko-baranjska;PETLOVAC;.;.;.;.;.;.;.;;
3263;Varaždinska;PETRIJANEC;.;.;.;z;.;.;z;;
3271;Osje?ko-baranjska;PETRIJEVCI;z;.;.;.;.;.;.;;
3280;Sisa?ko-moslava?ka;PETRINJA;16;12;19;10;26;27;34;;
3298;Krapinsko-zagorska;PETROVSKO;.;.;.;.;.;.;.;;
3301;Istarska;PI?AN;z;.;.;z;.;.;.;;
5819;Šibensko-kninska;PIROVAC;z;z;z;z;z;25;19;;
3310;Zagreba?ka;PISAROVINA;.;.;.;.;.;.;.;;
3328;Viroviti?ko-podravska;PITOMA?A;z;z;z;z;z;z;z;;
3336;Karlova?ka;PLAŠKI;.;.;.;.;.;.;.;;
3344;Požeško-slavonska;PLETERNICA;z;.;.;.;.;.;z;;
4553;Li?ko-senjska;PLITVI?KA JEZERA;z;z;z;z;z;z;16;;
3352;Dubrova?ko-neretvanska;PLO?E;37;17;10;33;48;43;38;;
3379;Splitsko-dalmatinska;PODBABLJE;.;.;.;.;.;.;.;;
3387;Brodsko-posavska;PODCRKAVLJE;.;.;.;.;.;.;.;;
3395;Splitsko-dalmatinska;PODGORA;27;z;z;z;10;13;z;;
3409;Osje?ko-baranjska;PODGORA?;.;.;.;.;z;.;.;;
2712;Osje?ko-baranjska;PODRAVSKA MOSLAVINA;.;.;.;.;.;.;.;;
6165;Koprivni?ko-križeva?ka;PODRAVSKE SESVETE;.;.;.;.;.;.;z;;
3417;Splitsko-dalmatinska;PODSTRANA;12;16;62;35;60;38;54;;
3425;Me?imurska;PODTUREN;.;.;.;z;.;.;z;;
3433;Dubrova?ko-neretvanska;POJEZERJE;.;.;z;.;.;.;.;;
5444;Zagreba?ka;POKUPSKO;.;.;.;z;.;.;.;;
3441;Zadarska;POLA?A;.;z;z;z;z;.;.;;
3450;Zadarska;POLI?NIK;.;.;.;z;.;.;z;;
3468;Osje?ko-baranjska;POPOVAC;.;z;.;z;z;.;z;;
3476;Sisa?ko-moslava?ka;POPOVA?A;14;z;z;z;z;12;z;;
3484;Istarska;PORE? - PARENZO;190;150;182;181;253;271;259;;
3492;Zadarska;POSEDARJE;z;11;z;25;17;25;17;;
