Sifra,Zupanija,JLS,2012,2013,2014,2015,2016,2017,2018
3573,Šibensko-kninska,PRIMOŠTEN,5,5,5,5,27,10,15
5835,Vukovarsko-srijemska,PRIVLAKA,11,10,13,5,10,28,51
5746,5adarska,PRIVLAKA,0,0,0,0,0,0,0
884,Splitsko-dalmatinska,PROLOŽAC,0,0,0,0,0,0,0
2984,Šibensko-kninska,PROMINA,0,0,0,5,0,0,0
3581,Splitsko-dalmatinska,PU?IŠ?A,5,0,5,5,0,0,5
3590,Istarska,PULA - POLA,386,438,492,420,572,730,703
3603,Primorsko-goranska,PUNAT,16,11,23,22,21,11,40
3611,Osje?ko-baranjska,PUNITOVCI,0,0,0,0,0,0,0
3620,5agreba?ka,PUŠ?A,0,0,0,0,0,0,0
3638,Primorsko-goranska,RAB,52,45,44,52,57,71,61
3646,Krapinsko-5agorska,RADOBOJ,5,0,0,0,0,0,0
5363,5agreba?ka,RAKOVEC,0,0,0,0,5,0,0
3654,Karlova?ka,RAKOVICA,0,0,0,5,0,0,0
